name,m_sin_i__jupiter,axis_semi_major__au,period_orbital__day,eccenricity_orbital,w__deg,periastron_time__jd,velocity_semiaplitude__ms,reference_orbit,reference_first
Kepler-107 d,,0.0780099,7.958203,,90.0,2454970.7996799997,,Rowe 2014,Rowe 2014
Kepler-1049 b,,0.0344721,3.27346074,0.0,90.0,,,Morton 2016,Morton 2016
Kepler-813 b,,0.13760999999999998,19.12947337,0.0,90.0,,,Morton 2016,Morton 2016
Kepler-427 b,0.31043200000000004,0.091351,10.290994,0.0,90.0,2454970.02207,29.8,Hebrard 2014,Borucki 2010
Kepler-1056 b,,0.185149,27.495606,0.0,90.0,,,Morton 2016,Morton 2016
Kepler-1165 b,,0.0912977,9.478522,0.0,90.0,,,Morton 2016,Morton 2016
Kepler-1104 b,,0.06276509999999999,5.03728015,0.0,90.0,,,Morton 2016,Morton 2016
WASP-14 b,7.65457,0.036769300000000005,2.243752,0.091,253.37099999999998,2454462.3304,993.0,Joshi 2009,Joshi 2009
Kepler-50 b,,0.0825598,7.812512400000001,,,,,Steffen 2013,Borucki 2011
NN Ser d,0.642621,3.7059599999999997,2605.0,0.05,152.0,2458029.0,9.5,Horner 2012,Beuermann 2010
WASP-105 b,1.7591900000000003,0.07454730000000001,7.87288,0.0,90.0,2456600.0765,194.0,Anderson 2017,Anderson 2017
GJ 625 b,0.0089295,0.07836239999999998,14.628,0.13,343.1,,1.67,Suarez Mascareno 2017,Suarez Mascareno 2017
Kepler-1279 b,,0.170989,23.477410100000004,0.0,90.0,,,Morton 2016,Morton 2016
Kepler-1599 b,,0.48075,122.363553,0.0,90.0,,,Morton 2016,Morton 2016
Kepler-20 b,0.0266149,0.0453704,3.6961218999999996,0.0,79.2157,2454966.34,3.72,Gautier 2012,Borucki 2011
HAT-P-27 b,0.615135,0.039948800000000007,3.039577,0.0,90.0,2455407.9088,91.2,Brown 2012,Anderson 2011
Kepler-181 b,,0.0419466,3.137873,,90.0,2454966.55562,,Rowe 2014,Rowe 2014
HD 116029 b,1.9075,1.6486900000000002,670.0,0.0,40.0,2455220.0,36.6,Johnson 2011,Johnson 2011
Kepler-207 b,,0.0269045,1.6118649999999999,,90.0,2454966.5704099997,,Rowe 2014,Rowe 2014
Kepler-1156 b,,0.10198099999999999,11.89520511,0.0,90.0,,,Morton 2016,Morton 2016
Kepler-1512 b,,0.13139,20.35972599,0.0,90.0,,,Morton 2016,Morton 2016
Kepler-787 b,,0.0161327,0.9283104999999999,0.0,90.0,,,Morton 2016,Morton 2016
Kepler-528 b,,0.143629,19.78297415,0.0,90.0,,,Morton 2016,Morton 2016
HD 219828 b,0.062218499999999996,0.0515012,3.8334998999999996,0.0,0.0,2453898.629,7.0,Melo 2007,Melo 2007
Kepler-480 b,,0.0609811,4.9195838,0.0,90.0,,,Morton 2016,Morton 2016
Kepler-1567 b,,0.5527,153.979578,0.0,90.0,,,Morton 2016,Morton 2016
HD 3167 b,0.0157857,0.018149099999999998,0.959641,0.0,90.0,2457394.37454,3.58,Christiansen 2017,Vanderburg 2016
Kepler-1390 b,,0.0675681,6.48021673,0.0,90.0,,,Morton 2016,Morton 2016
Kepler-1642 b,,0.0994208,12.205751300000001,0.0,90.0,,,Morton 2016,Morton 2016
Kepler-11 c,,0.10690899999999999,13.0241,0.0256125,51.3402,2455582.016,,Lissauer 2013,Lissauer 2011
Kepler-871 b,,0.15931800000000002,22.0459018,0.0,90.0,,,Morton 2016,Morton 2016
Kepler-1131 b,,0.045841599999999996,3.53232449,0.0,90.0,,,Morton 2016,Morton 2016
Kepler-705 b,,0.23197800000000002,56.056053799999994,0.0,90.0,,,Morton 2016,Morton 2016
HD 1237 b,3.3748,0.49466800000000005,133.71001,0.511,290.7,2451545.86,167.0,Naef 2001,Naef 2001
WASP-21 b,0.300201,0.0521087,4.322482,0.0,90.0,2454743.0419,37.2,Bouchy 2010,Bouchy 2010
Kepler-284 c,,0.219317,37.514456,,90.0,2455022.30068,,Rowe 2014,Rowe 2014
Kepler-186 c,,0.0574114,7.267302000000001,0.03,270.0,2455003.681,,Quintana 2014,Rowe 2014
HD 4308 b,0.0477376,0.119192,15.56,0.0,359.0,2453314.7,4.07,Udry 2006,Udry 2006
